title,name_book,content,score,creation_date
Artus,"Ankunding, Wiza and Powlowski",Director of Sales,83,2023-06-17
Bary,"Schaefer, Balistreri and Hartmann",Quality Control Specialist,41,2022-09-09
Vin,Johns Inc,Clinical Specialist,64,2023-06-28
Peyter,Kihn and Sons,Desktop Support Technician,29,2023-04-14
Johnathon,Orn Group,Operator,7,2022-07-30
Arlan,Zieme-Gibson,Design Engineer,61,2023-01-22
Ingamar,Effertz Inc,Food Chemist,67,2023-01-04
Bartolomeo,Becker-O'Hara,Senior Quality Engineer,68,2023-02-26
Lothario,"Huels, Corwin and Quigley",Human Resources Assistant IV,43,2022-10-29
Simon,Herzog-Doyle,Environmental Specialist,74,2023-05-11
Bent,Strosin-Pollich,Staff Accountant III,54,2023-01-22
Matthew,"Beier, Ledner and Kessler",VP Accounting,100,2023-04-03
Tyson,Bechtelar-Hudson,Technical Writer,56,2023-06-08
Chadwick,"Keebler, Witting and Ankunding",Physical Therapy Assistant,82,2023-04-03
Nicholas,"Beatty, Heathcote and Prosacco",Sales Representative,9,2023-03-14
Carson,"Hodkiewicz, Keebler and D'Amore",Graphic Designer,53,2023-07-02
Curtice,Herman Group,VP Quality Control,26,2022-09-23
Leslie,Schulist-Lueilwitz,Product Engineer,12,2023-03-02
Aldridge,Terry-Weissnat,Project Manager,58,2022-12-25
Clemmie,Wilderman and Sons,Clinical Specialist,55,2023-07-01
Dudley,"Schaefer, Bailey and Boehm",Staff Scientist,73,2022-09-08
Nealson,Wilkinson and Sons,Programmer IV,67,2023-06-25
Gregoor,"Bartell, Walsh and Stiedemann",Staff Accountant III,24,2023-02-11
Sly,Thompson-Abshire,Help Desk Technician,52,2023-06-01
Warner,"Ledner, Bins and Ullrich",Account Coordinator,70,2022-09-05
Bjorn,Schinner-Crooks,Geological Engineer,59,2023-05-20
Kerk,Barrows-Bartell,Recruiter,7,2023-03-12
Clemens,Lubowitz-Goldner,Design Engineer,47,2023-02-23
Hew,MacGyver LLC,Recruiter,21,2022-11-12
Bryan,"Howe, Crooks and Roob",Structural Engineer,100,2023-04-02
Vladimir,Leuschke-Abernathy,Geologist I,48,2023-05-14
Doug,Armstrong-Jenkins,Structural Engineer,73,2022-09-14
Irving,Howe-Sanford,Assistant Manager,72,2023-05-11
Krispin,"Kiehn, Johnson and Davis",Marketing Manager,4,2023-04-16
Neddy,"Yundt, Dicki and Bogan",Help Desk Operator,21,2023-02-01
Rock,Mraz-Labadie,Help Desk Technician,56,2022-07-22
Terrence,"Crona, Roberts and Smitham",Sales Associate,13,2022-08-29
Artie,"Reinger, Gerlach and Howe",Cost Accountant,87,2022-07-29
Fabiano,"Emmerich, Hammes and Swift",VP Marketing,79,2022-10-03
Zelig,Quigley-Erdman,Assistant Professor,6,2022-09-05
Marco,Bogan and Sons,Staff Accountant III,37,2022-12-27
Bronnie,Spencer-Romaguera,Web Designer IV,73,2022-07-22
Lincoln,Lowe-Padberg,Environmental Specialist,81,2023-03-24
Adams,Littel Group,Accounting Assistant I,95,2022-12-25
Dagny,"Will, Keeling and Trantow",Analyst Programmer,71,2023-02-18
Silvester,Wuckert LLC,Internal Auditor,39,2022-08-02
Maison,Larkin Inc,Senior Developer,47,2023-06-19
